"N°";"fokontany";"Kaomina";"Distrika";"Region";"Province"
"1";"Ampasina";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"2";"Antanifotsy";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"3";"Amboloando";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"4";"Vatambe Nanarena";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"5";"Vohimary";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"6";"Andiolava";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"7";"Ankazoabokely";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"8";"Ambatofotsy";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"9";"Ambondrobe";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"10";"Ambodimanga Seranana";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"11";"Ampombilava";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"12";"Antsiradrano";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"13";"Befotaka";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"14";"Bekilandy";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"15";"Sahantona";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"16";"Maroadabohely";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"17";"Andohajango";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"18";"Antendrombohilava";"Andilana Nord";\N;\N;\N
"19";"Ampasika";"Andilana Nord";\N;\N;\N
"20";"Morarano Mandroso";"Andilana Nord";\N;\N;\N
"21";"Vohimarina";"Andilana Nord";\N;\N;\N
"22";"Analavondro";"Andilana Nord";\N;\N;\N
"23";"Andratsiolona";"Andilana Nord";\N;\N;\N
"24";"Andilana Nord";"Andilana Nord";\N;\N;\N
"25";"Antsapanimahazo";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"26";"Ambodifiakarana";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"27";"Ambohimiarina";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"28";"Ambohimasina";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"29";"Ambodinonoka";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"30";"Ankasina";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"31";"Sahanidingana";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"32";"Fierenana";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"33";"Mangatany";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"34";"Andranomadio";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"35";"Andranokobaka";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"36";"Ranofotsy";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"37";"Andasibe";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"38";"Andilanatoby";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"39";"Behamotsy";"Andimaky Manambolo";\N;\N;\N
"40";"Ankaivo";"Andimaky Manambolo";\N;\N;\N
"41";"Belobaka";"Andimaky Manambolo";\N;\N;\N
"42";"Ambaravaratany";"Andimaky Manambolo";\N;\N;\N
"43";"Andimaky Ampasy";"Andimaky Manambolo";\N;\N;\N
"44";"Bemamba";"Andimaky Manambolo";\N;\N;\N
"45";"Ambalabe";"Andimaky Manambolo";\N;\N;\N
"46";"Tsibiray";"Andimaky Manambolo";\N;\N;\N
"47";"Antsakoazato";"Andimaky Manambolo";\N;\N;\N
"48";"Bevaho";"Andimaky Manambolo";\N;\N;\N
"49";"Ampanarena";"Andimaky Manambolo";\N;\N;\N
"50";"Ankilizato Nord";"Andimaky Manambolo";\N;\N;\N
"51";"Ampamahotra";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"52";"Androrangavola";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"53";"Andonabe";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"54";"Morafeno";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"55";"Mahasoa";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"56";"Mahatsara II";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"57";"Amboza";"Maropaika";"Ivohibe";"Ihorombe";"Fianarantsoa"
"58";"Ampatsinakoho";"Maropaika";"Ivohibe";"Ihorombe";"Fianarantsoa"
"59";"Antanandava Sud";"Maropaika";"Ivohibe";"Ihorombe";"Fianarantsoa"
"60";"Ambatopaika";"Maropaika";"Ivohibe";"Ihorombe";"Fianarantsoa"
"61";"Mavogisa";"Maropaika";"Ivohibe";"Ihorombe";"Fianarantsoa"
"62";"Beadabo";"Maropaika";"Ivohibe";"Ihorombe";"Fianarantsoa"
"63";"Ampafatra";"Andranofotsy";"Maroantsetra";"Analanjirofo";"Toamasina"
"64";"Matsotarihina";"Andranofotsy";"Maroantsetra";"Analanjirofo";"Toamasina"
"65";"Andranofotsy";"Andranofotsy";"Maroantsetra";"Analanjirofo";"Toamasina"
"66";"Analamitivala";"Andranohinaly";\N;\N;\N
"67";"Sareriake";"Andranohinaly";\N;\N;\N
"68";"Antanetibe Toavala";"Andranomanelatra";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"69";"Ambohimandroso";"Andranomanelatra";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"70";"Amberobe";"Andranomanelatra";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"71";"Tsaramandroso Gara";"Andranomanelatra";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"72";"Tsaramandroso Soamahavoky";"Andranomanelatra";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"73";"Vohimasina II";"Androrangavola";"Ifanadiana";"Vatovavy-Fitovinany";"Fianarantsoa"
"73";"Vohimasina II";"Androrangavola";"Marolambo";"Atsinanana";"Toamasina"
"74";"Analila";"Androrangavola";"Ifanadiana";"Vatovavy-Fitovinany";"Fianarantsoa"
"74";"Analila";"Androrangavola";"Marolambo";"Atsinanana";"Toamasina"
"75";"Sandranamba";"Androrangavola";"Ifanadiana";"Vatovavy-Fitovinany";"Fianarantsoa"
"75";"Sandranamba";"Androrangavola";"Marolambo";"Atsinanana";"Toamasina"
"76";"Bemandotra";"Androvakely";\N;\N;\N
"77";"Beanana";"Androvakely";\N;\N;\N
"78";"Mananjaran'ifosa";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"79";"Maevatananan'ifosa";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"80";"Tanambao Ifosa";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"81";"Ambodisambalahy";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"82";"Ampamintanana";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"83";"Ambavala";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"84";"Anjombalava";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"85";"Ambodivohitra";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"86";"Seranampotaka";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"87";"Ankiakabe";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"88";"Antanambazaha";"Anjangoveratra";"Sambava";"SAVA";"Antsiranana"
"89";"Alatsinainy";"Andoharanomaitso";\N;\N;\N
"90";"Ambalatondroina";"Andoharanomaitso";\N;\N;\N
"91";"Antandrokomby I";"Andohariana";"Andramasina";"Analamanga";"Antananarivo"
"92";"Ambatofotsy";"Andohariana";"Andramasina";"Analamanga";"Antananarivo"
"93";"Amby";"Andohariana";"Andramasina";"Analamanga";"Antananarivo"
"94";"Andraravola";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"95";"Morarano";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"96";"Fihasinana";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"97";"Ambohitromby";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"98";"Andranovelona";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"99";"Antanetibe Maromby";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"100";"Mizahamiorika";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"101";"Andihona II";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"102";"Ambodilalona I";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"103";"Ambatofotsy";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"104";"Antafiamirango";"Andranoboka";"Mahajanga-II";"Boeny";"Mahajanga"
"105";"Andranoboka";"Andranoboka";"Mahajanga-II";"Boeny";"Mahajanga"
"106";"Labandy";"Andranoboka";"Mahajanga-II";"Boeny";"Mahajanga"
"107";"Ambodiala";"Andranoboka";"Mahajanga-II";"Boeny";"Mahajanga"
"108";"Mangabe";"Andranoboka";"Mahajanga-II";"Boeny";"Mahajanga"
"109";"Anjobajoba";"Andranoboka";"Mahajanga-II";"Boeny";"Mahajanga"
"110";"Tsaramandroso";"Andranoboka";"Mahajanga-II";"Boeny";"Mahajanga"
"111";"Andapa Tamboro";"Andranobolaha";"Tamatave-II";"Atsinanana";"Toamasina"
"112";"Andranovaky";"Andranobolaha";"Tamatave-II";"Atsinanana";"Toamasina"
"113";"Ambodibonara";"Andranobolaha";"Tamatave-II";"Atsinanana";"Toamasina"
"114";"Vohilavakely";"Andranomavo";"Soalala";"Boeny";"Mahajanga"
"115";"Ambodiaviavy";"Andranomavo";"Soalala";"Boeny";"Mahajanga"
"116";"Maromitety";"Andranomavo";"Soalala";"Boeny";"Mahajanga"
"117";"Ambatomilahatrano";"Andranomeva";"Boriziny";"Sofia";"Mahajanga"
"118";"Bemakamba";"Andranomeva";"Boriziny";"Sofia";"Mahajanga"
"119";"Anosikobondro";"Marovoay Banlieue";\N;\N;\N
"120";"Andakalaka";"Marovoay Banlieue";\N;\N;\N
"121";"Ambatobe";"Marovoay Banlieue";\N;\N;\N
"122";"Ambovokatrakatraka";"Marovoay Banlieue";\N;\N;\N
"123";"Miadana";"Marovoay Banlieue";\N;\N;\N
"124";"Talaky";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"125";"Ambalamarina";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"126";"Anjama Ivo";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"127";"Ankadilanana";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"128";"Antananomby";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"129";"Loharano";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"130";"Atsimondrano";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"131";"Ampiterena";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"132";"Andina Centre";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"133";"Ampotsinatsy";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"134";"Marinera";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"135";"Ambinome";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"136";"Antanantanana";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"137";"Bemanondro";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"138";"Andrangeza";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"139";"Mahabo";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"140";"Ambohimanala";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"141";"Volotara Firaisana";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"142";"Morarano Firaisana";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"143";"Iavoloha";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"144";"Andoharanofotsy";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"145";"Mahalavolona";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"146";"Belambanana";"Andoharanofotsy";"Antananarivo-Atsimondrano";"Analamanga";"Antananarivo"
"147";"Irano Anosilava";"Andoharanomaitso";\N;\N;\N
"148";"Mahalay";"Andoharanomaitso";\N;\N;\N
"149";"Itohy";"Andoharanomaitso";\N;\N;\N
"150";"Vohimanombo";"Andoharanomaitso";\N;\N;\N
"151";"Ambalaseva";"Andoharanomaitso";\N;\N;\N
"152";"Andranomiboaka";"Andoharanomaitso";\N;\N;\N
"153";"Tanamarina Laobato";"Andoharanomaitso";\N;\N;\N
"154";"Antaniditra";"Andoharanomaitso";\N;\N;\N
"155";"Mahavanona";"Andoharanomaitso";\N;\N;\N
"156";"Ambalamisaotra";"Andoharanomaitso";\N;\N;\N
"157";"Vohitenina";"Andoharanomaitso";\N;\N;\N
"158";"Andovoka";"Andoharanomaitso";\N;\N;\N
"159";"Andreamitsioka";"Andoharanomaitso";\N;\N;\N
"160";"Mitsinjorano";"Andoharanomaitso";\N;\N;\N
"161";"Ambalabetsila";"Andoharanomaitso";\N;\N;\N
"162";"Ampanenjanana";"Andoharanomaitso";\N;\N;\N
"163";"Ranomaitso";"Andoharanomaitso";\N;\N;\N
"164";"Soamanakova";"Andoharanomaitso";\N;\N;\N
"165";"Vatomaitso";"Andoharanomaitso";\N;\N;\N
"166";"Ambohitrasoavina";"Andoharanomaitso";\N;\N;\N
"167";"Betapoaka";"Andoharanomaitso";\N;\N;\N
"168";"Andohariana";"Andohariana";"Andramasina";"Analamanga";"Antananarivo"
"169";"Antandrokomby II";"Andohariana";"Andramasina";"Analamanga";"Antananarivo"
"170";"Beravina";"Andohariana";"Andramasina";"Analamanga";"Antananarivo"
"171";"Talata Ambatofolaka";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"172";"Mangarivotra";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"173";"Ambohibary Est";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"174";"Amparihiritra";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"175";"Andranovelona";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"176";"Beraketa";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"177";"Andolofotsy";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"178";"Betsinjovina";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"179";"Ambohidrano";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"180";"Alakamisy Nord";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"181";"Bemangidy";"Andolofotsy";"Miarinarivo";"Itasy";"Antananarivo"
"182";"Maholiafo";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"183";"Ambohitsara";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"184";"Ambodisaina";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"185";"Tanambao Tsimivatsy";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"186";"Ambatoringitra";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"187";"Seranana";"Andonabe";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"188";"Ambatomitsangana";"Andonabe Sud";\N;\N;\N
"189";"Ambinanifatranonoka";"Andonabe Sud";\N;\N;\N
"190";"Maromitety I";"Andonabe Sud";\N;\N;\N
"191";"Ambalaomby";"Andonabe Sud";\N;\N;\N
"192";"Ambohimalaza";"Andonabe Sud";\N;\N;\N
"193";"Ambalabe";"Andonabe Sud";\N;\N;\N
"194";"Salemanana";"Andonabe Sud";\N;\N;\N
"195";"Ambohitsara";"Andonabe Sud";\N;\N;\N
"196";"Maromitety II";"Andonabe Sud";\N;\N;\N
"197";"Ampatsy";"Andonabe Sud";\N;\N;\N
"198";"Ampasimbola";"Andonabe Sud";\N;\N;\N
"199";"Sakalava";"Andonabe Sud";\N;\N;\N
"200";"Ambodiala";"Andonabe Sud";\N;\N;\N
"201";"Ambatolava";"Andonabe Sud";\N;\N;\N
"202";"Mahatsara";"Andonabe Sud";\N;\N;\N
"203";"Androrangabe";"Andonabe Sud";\N;\N;\N
"204";"Morafeno";"Andonabe Sud";\N;\N;\N
"205";"Andavaranga I";"Andonabe Sud";\N;\N;\N
"206";"Andavaranga II";"Andonabe Sud";\N;\N;\N
"207";"Anivorano";"Andonabe Sud";\N;\N;\N
"208";"Ambatolahy";"Andonabe Sud";\N;\N;\N
"209";"Amboangy";"Andonabe Sud";\N;\N;\N
"210";"Andovolava";"Andonabe Sud";\N;\N;\N
"211";"Ambodiara";"Andonabe Sud";\N;\N;\N
"212";"Andonabe Sud";"Andonabe Sud";\N;\N;\N
"213";"Ambalaherana";"Andonabe Sud";\N;\N;\N
"214";"Andilambola I";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"215";"Ampasimbazaha";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"216";"Ambodiampaly Mahony";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"217";"Ambalatenina Nord";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"218";"Analabemazava";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"219";"Andapa";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"220";"Ambodiriana";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"221";"Andondabe";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"222";"Ambodihazomamy";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"223";"Tolohofotsy";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"224";"Ambodivoanio";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"225";"Ambodimanga";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"226";"Rokalava";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"227";"Ambalatenina Sud";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"228";"Antsiradranobe";"Andondabe";"Tamatave-II";"Atsinanana";"Toamasina"
"229";"Sondrara";"Andovoranto";\N;\N;\N
"230";"Vavony";"Andovoranto";\N;\N;\N
"231";"Ambila Lemaitso";"Andovoranto";\N;\N;\N
"232";"Andavakimena";"Andovoranto";\N;\N;\N
"233";"Ambodivoara";"Andovoranto";\N;\N;\N
"234";"Ianakonitra";"Andovoranto";\N;\N;\N
"235";"Ambatobe";"Andovoranto";\N;\N;\N
"236";"Manakambahiny";"Andovoranto";\N;\N;\N
"237";"Manarantsandry";"Andovoranto";\N;\N;\N
"238";"Manerinerina";"Andovoranto";\N;\N;\N
"239";"Andovoranto";"Andovoranto";\N;\N;\N
"240";"Vohitrampasina";"Andovoranto";\N;\N;\N
"241";"Mahazava";"Andrafainkona";"Vohemar";"SAVA";"Antsiranana"
"242";"Andomboka";"Andrafainkona";"Vohemar";"SAVA";"Antsiranana"
"243";"Ampisarahana";"Andrafainkona";"Vohemar";"SAVA";"Antsiranana"
"244";"Ambodimandresy";"Andrafainkona";"Vohemar";"SAVA";"Antsiranana"
"245";"Andrafainkona";"Andrafainkona";"Vohemar";"SAVA";"Antsiranana"
"246";"Antongodriha II";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"247";"Andrasaha";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"248";"Ambohimanarina";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"249";"Tananambo";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"250";"Ambavala";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"251";"Morarivo Centre";"Miandrarivo";"Faratsiho";"Vakinankaratra";"Antananarivo"
"252";"Andohafarihy";"Miandrarivo";"Faratsiho";"Vakinankaratra";"Antananarivo"
"253";"Antsahanitavolo";"Miandrarivo";"Faratsiho";"Vakinankaratra";"Antananarivo"
"254";"Tsaratanana";"Miandrarivo";"Faratsiho";"Vakinankaratra";"Antananarivo"
"255";"Morafeno Sud";"Miandrarivo";"Faratsiho";"Vakinankaratra";"Antananarivo"
"256";"Soamanandrariny";"Miarinarivo";"Miarinarivo";"Itasy";"Antananarivo"
"256";"Soamanandrariny";"Miarinarivo";"Ambalavao";"Haute Matsiatra";"Fianarantsoa"
"256";"Soamanandrariny";"Miarinarivo";"Andilamena";"Alaotra-Mangoro";"Toamasina"
"256";"Soamanandrariny";"Miarinarivo";"Vavatenina";"Analanjirofo";"Toamasina"
"257";"Analakely";"Miarinavaratra";"Fandriana";"Amoron'i Mania";"Fianarantsoa"
"258";"Tsarahonenana";"Miarinavaratra";"Fandriana";"Amoron'i Mania";"Fianarantsoa"
"259";"Ambatomirahavavy";"Andravola Vohipeno";\N;\N;\N
"260";"Andravola Vohipeno";"Andravola Vohipeno";\N;\N;\N
"261";"Fihaonana";"Andravola Vohipeno";\N;\N;\N
"262";"Ambinanibe";"Andravola Vohipeno";\N;\N;\N
"263";"Ambatoharanana";"Andravola Vohipeno";\N;\N;\N
"264";"Maromokotra";"Andravory";"Vohemar";"SAVA";"Antsiranana"
"265";"Andravory";"Andravory";"Vohemar";"SAVA";"Antsiranana"
"266";"Ambararatabe";"Andravory";"Vohemar";"SAVA";"Antsiranana"
"267";"Andriampamaky";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"268";"Miorikampoza";"Ankadinandriana";"Antananarivo-Avaradrano";"Analamanga";"Antananarivo"
"269";"Ankazotsifantatra";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"270";"Ampitabe I";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"271";"Maroariana";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"272";"Tanambao I";"Ankazotsifantatra";"Mahanoro";"Atsinanana";"Toamasina"
"273";"Misorobe";"Ankiabe-Salohy";"Mandritsara";"Sofia";"Mahajanga"
"274";"Antsahalava";"Ankiabe-Salohy";"Mandritsara";"Sofia";"Mahajanga"
"275";"Belobaka";"Ankiabe-Salohy";"Mandritsara";"Sofia";"Mahajanga"
"276";"Ankiabe Salohy";"Ankiabe-Salohy";"Mandritsara";"Sofia";"Mahajanga"
"277";"Bemahetsaka";"Ankiabe-Salohy";"Mandritsara";"Sofia";"Mahajanga"
"278";"Ambiabe";"Ankiakabe-Fonoko";\N;\N;\N
"279";"Andongokely";"Ankiakabe-Fonoko";\N;\N;\N
"280";"Ankevaheva";"Ankiakabe-Fonoko";\N;\N;\N
"281";"Ambohimena";"Ankiakabe-Fonoko";\N;\N;\N
"282";"Sakabera Sikily";"Ankilimalinike";"Tuléar-II";"Atsimo-Andrefana";"Toliara"
"283";"Ankatrakatraka";"Ankilimalinike";"Tuléar-II";"Atsimo-Andrefana";"Toliara"
"284";"Antapoake";"Ankilimalinike";"Tuléar-II";"Atsimo-Andrefana";"Toliara"
"285";"Ankilimivory";"Ankilimivory";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"286";"Votovoatavo";"Ankilimivory";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"287";"Vohimiroro";"Ankilimivory";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"288";"Marohola";"Ankilimivory";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"289";"Sarotsetay Ambany";"Ankilimivory";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"290";"Behoririka";"3e Arrondissement";\N;\N;\N
"291";"Behoririka Ambatomitsangana";"3e Arrondissement";\N;\N;\N
"292";"Behoririka Ankaditapaka";"3e Arrondissement";\N;\N;\N
"293";"Ankaditapaka Avaratra";"3e Arrondissement";\N;\N;\N
"294";"Ankadifotsy Antanifotsy";"3e Arrondissement";\N;\N;\N
"295";"Ankadifotsy Befelatanana";"3e Arrondissement";\N;\N;\N
"296";"Ambodivona Ankadifotsy";"3e Arrondissement";\N;\N;\N
"297";"Soahitra II";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"298";"Andrahanjo";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"299";"Mevatanana";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"300";"Antongodriha I";"Andrahanjo";"Sambava";"SAVA";"Antsiranana"
"301";"Andrainjato";"Andrainjato";"Ambalavao";"Haute Matsiatra";"Fianarantsoa"
"302";"Fiarenana";"Andrainjato";"Ambalavao";"Haute Matsiatra";"Fianarantsoa"
"303";"Mahatsinjony";"Andrainjato";"Ambalavao";"Haute Matsiatra";"Fianarantsoa"
"304";"Tanambao Tsiakary";"Andrainjato";"Ambalavao";"Haute Matsiatra";"Fianarantsoa"
"305";"Seranana";"Andrainjato";"Ambalavao";"Haute Matsiatra";"Fianarantsoa"
"306";"Tambikandrefana";"Andrainjato Centre";\N;\N;\N
"307";"Andohamerina";"Andrainjato Centre";\N;\N;\N
"308";"Hoditrazo";"Andrainjato Centre";\N;\N;\N
"309";"Ampampana";"Andrainjato Centre";\N;\N;\N
"310";"Ambanana";"Andrainjato Centre";\N;\N;\N
"311";"Sahamena";"Andrainjato Centre";\N;\N;\N
"312";"Mitongoa";"Andrainjato Est";\N;\N;\N
"313";"Savahaonina";"Andrainjato Est";\N;\N;\N
"314";"Tambohonienjanina";"Andrainjato Est";\N;\N;\N
"315";"Fatakanina";"Andrainjato Est";\N;\N;\N
"316";"Taniditra";"Andrainjato Est";\N;\N;\N
"317";"Masiaposa";"Andrakata";"Andapa";"SAVA";"Antsiranana"
"318";"Andrakata";"Andrakata";"Andapa";"SAVA";"Antsiranana"
"319";"Androka";"Andrakata";"Andapa";"SAVA";"Antsiranana"
"320";"Ambalavelona";"Andrakata";"Andapa";"SAVA";"Antsiranana"
"321";"Ambohimarina";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"322";"Ankorona";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"323";"Ambodivato";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"324";"Ambohijafy";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"325";"Ambohitrandraina";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"326";"Andramasina";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"327";"Antanetibe Firaisana";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"328";"Ambalavao Firaisana";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"329";"Bemalaza";"Andramasina";"Andramasina";"Analamanga";"Antananarivo"
"330";"Mampatsa";"Andramy";"Morafenobe";"Melaky";"Mahajanga"
"331";"Bemandavo";"Andramy";"Morafenobe";"Melaky";"Mahajanga"
"332";"Antsingilitoka";"Andramy";"Morafenobe";"Melaky";"Mahajanga"
